player_id,player_name,team_name,country,skill_rank,team_join_date
148,Team_P3,Team Heretics,INT,Radiant,2024-01-01
149,Team_P4,Team Heretics,INT,Radiant,2024-01-01
150,Team_P5,Team Heretics,INT,Radiant,2024-01-01
151,Movistar_P1,Movistar KOI,INT,Radiant,2024-01-01
152,Movistar_P2,Movistar KOI,INT,Radiant,2024-01-01
153,Movistar_P3,Movistar KOI,INT,Radiant,2024-01-01
154,Movistar_P4,Movistar KOI,INT,Radiant,2024-01-01
155,Movistar_P5,Movistar KOI,INT,Radiant,2024-01-01
156,Gentle_P1,Gentle Mates,INT,Radiant,2024-01-01
157,Gentle_P2,Gentle Mates,INT,Radiant,2024-01-01
158,Gentle_P3,Gentle Mates,INT,Radiant,2024-01-01
159,Gentle_P4,Gentle Mates,INT,Radiant,2024-01-01
160,Gentle_P5,Gentle Mates,INT,Radiant,2024-01-01
161,Apeks_P1,Apeks,INT,Radiant,2024-01-01
162,Apeks_P2,Apeks,INT,Radiant,2024-01-01
163,Apeks_P3,Apeks,INT,Radiant,2024-01-01
164,Apeks_P4,Apeks,INT,Radiant,2024-01-01
165,Apeks_P5,Apeks,INT,Radiant,2024-01-01
166,Acend_P1,Acend,INT,Radiant,2024-01-01
167,Acend_P2,Acend,INT,Radiant,2024-01-01
168,Acend_P3,Acend,INT,Radiant,2024-01-01
169,Acend_P4,Acend,INT,Radiant,2024-01-01
170,Acend_P5,Acend,INT,Radiant,2024-01-01
171,Enterprise_P1,Enterprise Esports,INT,Radiant,2024-01-01
172,Enterprise_P2,Enterprise Esports,INT,Radiant,2024-01-01
173,Enterprise_P3,Enterprise Esports,INT,Radiant,2024-01-01
174,Enterprise_P4,Enterprise Esports,INT,Radiant,2024-01-01
175,Enterprise_P5,Enterprise Esports,INT,Radiant,2024-01-01
176,SAW_P1,SAW,INT,Radiant,2024-01-01
177,SAW_P2,SAW,INT,Radiant,2024-01-01
178,SAW_P3,SAW,INT,Radiant,2024-01-01
179,SAW_P4,SAW,INT,Radiant,2024-01-01
180,SAW_P5,SAW,INT,Radiant,2024-01-01
181,CGN_P1,CGN Esports,INT,Radiant,2024-01-01
182,CGN_P2,CGN Esports,INT,Radiant,2024-01-01
183,CGN_P3,CGN Esports,INT,Radiant,2024-01-01
184,CGN_P4,CGN Esports,INT,Radiant,2024-01-01
185,CGN_P5,CGN Esports,INT,Radiant,2024-01-01
186,Dsyre_P1,Dsyre,INT,Radiant,2024-01-01
187,Dsyre_P2,Dsyre,INT,Radiant,2024-01-01
188,Dsyre_P3,Dsyre,INT,Radiant,2024-01-01
189,Dsyre_P4,Dsyre,INT,Radiant,2024-01-01
190,Dsyre_P5,Dsyre,INT,Radiant,2024-01-01
191,Joblife_P1,Joblife,INT,Radiant,2024-01-01
192,Joblife_P2,Joblife,INT,Radiant,2024-01-01
193,Joblife_P3,Joblife,INT,Radiant,2024-01-01
194,Joblife_P4,Joblife,INT,Radiant,2024-01-01
195,Joblife_P5,Joblife,INT,Radiant,2024-01-01
196,Paper_P1,Paper Rex,INT,Radiant,2024-01-01
197,Paper_P2,Paper Rex,INT,Radiant,2024-01-01
198,Paper_P3,Paper Rex,INT,Radiant,2024-01-01
199,Paper_P4,Paper Rex,INT,Radiant,2024-01-01
200,Paper_P5,Paper Rex,INT,Radiant,2024-01-01
201,DRX_P1,DRX,INT,Radiant,2024-01-01
202,DRX_P2,DRX,INT,Radiant,2024-01-01
203,DRX_P3,DRX,INT,Radiant,2024-01-01
204,DRX_P4,DRX,INT,Radiant,2024-01-01
205,DRX_P5,DRX,INT,Radiant,2024-01-01
206,T1_P1,T1,INT,Radiant,2024-01-01
207,T1_P2,T1,INT,Radiant,2024-01-01
208,T1_P3,T1,INT,Radiant,2024-01-01
209,T1_P4,T1,INT,Radiant,2024-01-01
210,T1_P5,T1,INT,Radiant,2024-01-01
211,GenG_P1,Gen.G,INT,Radiant,2024-01-01
212,GenG_P2,Gen.G,INT,Radiant,2024-01-01
213,GenG_P3,Gen.G,INT,Radiant,2024-01-01
214,GenG_P4,Gen.G,INT,Radiant,2024-01-01
215,GenG_P5,Gen.G,INT,Radiant,2024-01-01
216,ZETA_P1,ZETA DIVISION,INT,Radiant,2024-01-01
217,ZETA_P2,ZETA DIVISION,INT,Radiant,2024-01-01
218,ZETA_P3,ZETA DIVISION,INT,Radiant,2024-01-01
219,ZETA_P4,ZETA DIVISION,INT,Radiant,2024-01-01
220,ZETA_P5,ZETA DIVISION,INT,Radiant,2024-01-01
221,DetonatioN_P1,DetonatioN FocusMe,INT,Radiant,2024-01-01
222,DetonatioN_P2,DetonatioN FocusMe,INT,Radiant,2024-01-01
223,DetonatioN_P3,DetonatioN FocusMe,INT,Radiant,2024-01-01
224,DetonatioN_P4,DetonatioN FocusMe,INT,Radiant,2024-01-01
225,DetonatioN_P5,DetonatioN FocusMe,INT,Radiant,2024-01-01
226,Talon_P1,Talon Esports,INT,Radiant,2024-01-01
227,Talon_P2,Talon Esports,INT,Radiant,2024-01-01
228,Talon_P3,Talon Esports,INT,Radiant,2024-01-01
229,Talon_P4,Talon Esports,INT,Radiant,2024-01-01
230,Talon_P5,Talon Esports,INT,Radiant,2024-01-01
231,Global_P1,Global Esports,INT,Radiant,2024-01-01
232,Global_P2,Global Esports,INT,Radiant,2024-01-01
233,Global_P3,Global Esports,INT,Radiant,2024-01-01
234,Global_P4,Global Esports,INT,Radiant,2024-01-01
235,Global_P5,Global Esports,INT,Radiant,2024-01-01
236,Team_P1,Team Secret,INT,Radiant,2024-01-01
237,Team_P2,Team Secret,INT,Radiant,2024-01-01
238,Team_P3,Team Secret,INT,Radiant,2024-01-01
239,Team_P4,Team Secret,INT,Radiant,2024-01-01
240,Team_P5,Team Secret,INT,Radiant,2024-01-01
241,Rex_P1,Rex Regum Qeon,INT,Radiant,2024-01-01
242,Rex_P2,Rex Regum Qeon,INT,Radiant,2024-01-01
243,Rex_P3,Rex Regum Qeon,INT,Radiant,2024-01-01
244,Rex_P4,Rex Regum Qeon,INT,Radiant,2024-01-01
245,Rex_P5,Rex Regum Qeon,INT,Radiant,2024-01-01
246,Bleed_P1,Bleed Esports,INT,Radiant,2024-01-01
247,Bleed_P2,Bleed Esports,INT,Radiant,2024-01-01
248,Bleed_P3,Bleed Esports,INT,Radiant,2024-01-01
249,Bleed_P4,Bleed Esports,INT,Radiant,2024-01-01
250,Bleed_P5,Bleed Esports,INT,Radiant,2024-01-01
251,SCARZ_P1,SCARZ,INT,Radiant,2024-01-01
252,SCARZ_P2,SCARZ,INT,Radiant,2024-01-01
253,SCARZ_P3,SCARZ,INT,Radiant,2024-01-01
254,SCARZ_P4,SCARZ,INT,Radiant,2024-01-01
255,SCARZ_P5,SCARZ,INT,Radiant,2024-01-01
256,BOOM_P1,BOOM Esports,INT,Radiant,2024-01-01
257,BOOM_P2,BOOM Esports,INT,Radiant,2024-01-01
258,BOOM_P3,BOOM Esports,INT,Radiant,2024-01-01
259,BOOM_P4,BOOM Esports,INT,Radiant,2024-01-01
260,BOOM_P5,BOOM Esports,INT,Radiant,2024-01-01
261,Orangutan_P1,Orangutan,INT,Radiant,2024-01-01
262,Orangutan_P2,Orangutan,INT,Radiant,2024-01-01
263,Orangutan_P3,Orangutan,INT,Radiant,2024-01-01
264,Orangutan_P4,Orangutan,INT,Radiant,2024-01-01
265,Orangutan_P5,Orangutan,INT,Radiant,2024-01-01
266,Revenant_P1,Revenant Esports,INT,Radiant,2024-01-01
267,Revenant_P2,Revenant Esports,INT,Radiant,2024-01-01
268,Revenant_P3,Revenant Esports,INT,Radiant,2024-01-01
269,Revenant_P4,Revenant Esports,INT,Radiant,2024-01-01
270,Revenant_P5,Revenant Esports,INT,Radiant,2024-01-01
271,Velocity_P1,Velocity Gaming,INT,Radiant,2024-01-01
272,Velocity_P2,Velocity Gaming,INT,Radiant,2024-01-01
273,Velocity_P3,Velocity Gaming,INT,Radiant,2024-01-01
274,Velocity_P4,Velocity Gaming,INT,Radiant,2024-01-01
275,Velocity_P5,Velocity Gaming,INT,Radiant,2024-01-01
276,Fancy_P1,Fancy United Esports,INT,Radiant,2024-01-01
277,Fancy_P2,Fancy United Esports,INT,Radiant,2024-01-01
278,Fancy_P3,Fancy United Esports,INT,Radiant,2024-01-01
279,Fancy_P4,Fancy United Esports,INT,Radiant,2024-01-01
280,Fancy_P5,Fancy United Esports,INT,Radiant,2024-01-01
281,Full_P1,Full Sense,INT,Radiant,2024-01-01
282,Full_P2,Full Sense,INT,Radiant,2024-01-01
283,Full_P3,Full Sense,INT,Radiant,2024-01-01
284,Full_P4,Full Sense,INT,Radiant,2024-01-01
285,Full_P5,Full Sense,INT,Radiant,2024-01-01
286,EDward_P1,EDward Gaming,INT,Radiant,2024-01-01
287,EDward_P2,EDward Gaming,INT,Radiant,2024-01-01
288,EDward_P3,EDward Gaming,INT,Radiant,2024-01-01
289,EDward_P4,EDward Gaming,INT,Radiant,2024-01-01
290,EDward_P5,EDward Gaming,INT,Radiant,2024-01-01
291,Bilibili_P1,Bilibili Gaming,INT,Radiant,2024-01-01
292,Bilibili_P2,Bilibili Gaming,INT,Radiant,2024-01-01
293,Bilibili_P3,Bilibili Gaming,INT,Radiant,2024-01-01
294,Bilibili_P4,Bilibili Gaming,INT,Radiant,2024-01-01
295,Bilibili_P5,Bilibili Gaming,INT,Radiant,2024-01-01
296,FunPlus_P1,FunPlus Phoenix,INT,Radiant,2024-01-01
297,FunPlus_P2,FunPlus Phoenix,INT,Radiant,2024-01-01
298,FunPlus_P3,FunPlus Phoenix,INT,Radiant,2024-01-01
299,FunPlus_P4,FunPlus Phoenix,INT,Radiant,2024-01-01
300,FunPlus_P5,FunPlus Phoenix,INT,Radiant,2024-01-01
301,Trace_P1,Trace Esports,INT,Radiant,2024-01-01
302,Trace_P2,Trace Esports,INT,Radiant,2024-01-01
303,Trace_P3,Trace Esports,INT,Radiant,2024-01-01
304,Trace_P4,Trace Esports,INT,Radiant,2024-01-01
305,Trace_P5,Trace Esports,INT,Radiant,2024-01-01
306,Dragon_P1,Dragon Ranger Gaming,INT,Radiant,2024-01-01
307,Dragon_P2,Dragon Ranger Gaming,INT,Radiant,2024-01-01
308,Dragon_P3,Dragon Ranger Gaming,INT,Radiant,2024-01-01
309,Dragon_P4,Dragon Ranger Gaming,INT,Radiant,2024-01-01
310,Dragon_P5,Dragon Ranger Gaming,INT,Radiant,2024-01-01
311,Nova_P1,Nova Esports,INT,Radiant,2024-01-01
312,Nova_P2,Nova Esports,INT,Radiant,2024-01-01
313,Nova_P3,Nova Esports,INT,Radiant,2024-01-01
314,Nova_P4,Nova Esports,INT,Radiant,2024-01-01
315,Nova_P5,Nova Esports,INT,Radiant,2024-01-01
316,Titan_P1,Titan Esports Club,INT,Radiant,2024-01-01
317,Titan_P2,Titan Esports Club,INT,Radiant,2024-01-01
318,Titan_P3,Titan Esports Club,INT,Radiant,2024-01-01
319,Titan_P4,Titan Esports Club,INT,Radiant,2024-01-01
320,Titan_P5,Titan Esports Club,INT,Radiant,2024-01-01
321,Wolves_P1,Wolves Esports,INT,Radiant,2024-01-01
322,Wolves_P2,Wolves Esports,INT,Radiant,2024-01-01
323,Wolves_P3,Wolves Esports,INT,Radiant,2024-01-01
324,Wolves_P4,Wolves Esports,INT,Radiant,2024-01-01
325,Wolves_P5,Wolves Esports,INT,Radiant,2024-01-01
326,Rare_P1,Rare Atom,INT,Radiant,2024-01-01
327,Rare_P2,Rare Atom,INT,Radiant,2024-01-01
328,Rare_P3,Rare Atom,INT,Radiant,2024-01-01
329,Rare_P4,Rare Atom,INT,Radiant,2024-01-01
330,Rare_P5,Rare Atom,INT,Radiant,2024-01-01
331,Attacking_P1,Attacking Soul Esports,INT,Radiant,2024-01-01
332,Attacking_P2,Attacking Soul Esports,INT,Radiant,2024-01-01
333,Attacking_P3,Attacking Soul Esports,INT,Radiant,2024-01-01
334,Attacking_P4,Attacking Soul Esports,INT,Radiant,2024-01-01
335,Attacking_P5,Attacking Soul Esports,INT,Radiant,2024-01-01
336,TYLOO_P1,TYLOO,INT,Radiant,2024-01-01
337,TYLOO_P2,TYLOO,INT,Radiant,2024-01-01
338,TYLOO_P3,TYLOO,INT,Radiant,2024-01-01
339,TYLOO_P4,TYLOO,INT,Radiant,2024-01-01
340,TYLOO_P5,TYLOO,INT,Radiant,2024-01-01
341,KeepBest_P1,KeepBest Gaming,INT,Radiant,2024-01-01
342,KeepBest_P2,KeepBest Gaming,INT,Radiant,2024-01-01
343,KeepBest_P3,KeepBest Gaming,INT,Radiant,2024-01-01
344,KeepBest_P4,KeepBest Gaming,INT,Radiant,2024-01-01
345,KeepBest_P5,KeepBest Gaming,INT,Radiant,2024-01-01
